date,sales
2021-08-03,150.1
2021-08-04,164.6
2021-08-05,175.5
2021-08-06,211.6
2021-08-07,294.7
2021-08-08,238.3
2021-08-09,219.2
2021-08-10,173.1
2021-08-11,171.4
2021-08-12,196.3
2021-08-13,172.0
2021-08-14,248.3
2021-08-15,251.9
2021-08-16,195.1
2021-08-17,175.6
2021-08-18,185.9
2021-08-19,157.6
2021-08-20,207.2
2021-08-21,242.3
2021-08-22,267.7
2021-08-23,169.7
2021-08-24,219.5
2021-08-25,238.8
2021-08-26,151.1
2021-08-27,239.9
2021-08-28,282.6
2021-08-29,251.1
2021-08-30,198.6
2021-08-31,206.6
2021-09-01,204.0
2021-09-02,205.1
2021-09-03,197.4
2021-09-04,304.6
2021-09-05,304.3
2021-09-06,198.4
2021-09-07,183.6
2021-09-08,234.8
2021-09-09,208.9
2021-09-10,253.3
2021-09-11,278.3
2021-09-12,406.6
2021-09-13,246.7
2021-09-14,212.7
2021-09-15,197.8
2021-09-16,194.3
2021-09-17,275.7
2021-09-18,267.2
2021-09-19,285.8
2021-09-20,225.1
2021-09-21,240.2
2021-09-22,194.6
2021-09-23,249.3
2021-09-24,284.2
2021-09-25,309.8
2021-09-26,301.4
2021-09-27,253.1
2021-09-28,262.1
2021-09-29,184.4
2021-09-30,304.1
2021-10-01,291.4
2021-10-02,301.9
2021-10-03,309.9
2021-10-04,273.5
2021-10-05,259.7
2021-10-06,213.4
2021-10-07,317.2
2021-10-08,289.3
2021-10-09,354.0
2021-10-10,312.6
2021-10-11,309.8
2021-10-12,280.0
2021-10-13,289.5
2021-10-14,249.5
2021-10-15,332.3
2021-10-16,355.7
2021-10-17,372.4
2021-10-18,265.5
2021-10-19,270.5
2021-10-20,341.5
2021-10-21,258.7
2021-10-22,308.2
2021-10-23,376.3
2021-10-24,351.6
2021-10-25,305.0
2021-10-26,281.7
2021-10-27,302.2
2021-10-28,261.6
2021-10-29,361.9
2021-10-30,353.7
2021-10-31,340.9
2021-11-01,405.7
2021-11-02,378.7
2021-11-03,358.0
2021-11-04,358.8
2021-11-05,436.0
2021-11-06,450.7
2021-11-07,452.5
2021-11-08,423.8
2021-11-09,369.7
2021-11-10,380.7
2021-11-11,390.3
2021-11-12,428.3
2021-11-13,460.9
2021-11-14,455.7
2021-11-15,402.3
2021-11-16,402.0
2021-11-17,387.6
2021-11-18,471.0
2021-11-19,439.2
2021-11-20,445.9
2021-11-21,440.1
2021-11-22,402.0
2021-11-23,406.6
2021-11-24,467.7
2021-11-25,394.4
2021-11-26,558.8
2021-11-27,492.1
2021-11-28,444.4
2021-11-29,434.1
2021-11-30,385.8
2021-12-01,349.5
2021-12-02,431.7
2021-12-03,398.2
2021-12-04,488.9
2021-12-05,461.0
2021-12-06,460.1
2021-12-07,445.8
2021-12-08,408.2
2021-12-09,402.7
2021-12-10,415.0
2021-12-11,469.7
2021-12-12,474.0
2021-12-13,469.6
2021-12-14,425.6
2021-12-15,436.4
2021-12-16,430.9
2021-12-17,428.3
2021-12-18,446.7
2021-12-19,516.9
2021-12-20,405.7
2021-12-21,406.8
2021-12-22,410.2
2021-12-23,377.2
2021-12-24,436.4
2021-12-25,471.4
2021-12-26,498.9
2021-12-27,440.8
2021-12-28,423.4
2021-12-29,446.6
2021-12-30,431.7
2021-12-31,447.7
2022-01-01,397.0
2022-01-02,475.3
2022-01-03,322.8
2022-01-04,325.8
2022-01-05,304.0
2022-01-06,339.0
2022-01-07,331.9
2022-01-08,412.5
2022-01-09,384.9
2022-01-10,332.0
2022-01-11,342.8
2022-01-12,433.0
2022-01-13,387.8
2022-01-14,349.1
2022-01-15,410.8
2022-01-16,345.9
2022-01-17,337.6
2022-01-18,271.0
2022-01-19,364.7
2022-01-20,327.3
2022-01-21,309.3
2022-01-22,360.5
2022-01-23,347.7
2022-01-24,365.1
2022-01-25,474.1
2022-01-26,336.8
2022-01-27,316.4
2022-01-28,337.4
2022-01-29,340.1
2022-01-30,372.5
2022-01-31,300.0
2022-02-01,309.7
2022-02-02,316.0
2022-02-03,323.3
2022-02-04,332.1
2022-02-05,330.0
2022-02-06,316.2
2022-02-07,302.4
2022-02-08,291.2
2022-02-09,237.2
2022-02-10,422.1
2022-02-11,324.9
2022-02-12,340.1
2022-02-13,333.0
2022-02-14,256.5
2022-02-15,239.5
2022-02-16,294.7
2022-02-17,265.9
2022-02-18,291.8
2022-02-19,374.9
2022-02-20,347.7
2022-02-21,278.8
2022-02-22,272.0
2022-02-23,305.3
2022-02-24,309.2
2022-02-25,313.4
2022-02-26,338.6
2022-02-27,270.5
2022-02-28,264.8
2022-03-01,287.3
2022-03-02,291.8
2022-03-03,311.9
2022-03-04,243.6
2022-03-05,331.7
2022-03-06,351.5
2022-03-07,271.9
2022-03-08,247.0
2022-03-09,413.8
2022-03-10,286.9
2022-03-11,279.5
2022-03-12,345.5
2022-03-13,356.9
2022-03-14,275.3
2022-03-15,294.0
2022-03-16,274.7
2022-03-17,261.6
2022-03-18,266.3
2022-03-19,326.9
2022-03-20,332.7
2022-03-21,288.5
2022-03-22,262.5
2022-03-23,275.6
2022-03-24,238.8
2022-03-25,267.1
2022-03-26,317.7
2022-03-27,292.9
2022-03-28,278.5
2022-03-29,268.4
2022-03-30,262.6
2022-03-31,262.9
2022-04-01,328.7
2022-04-02,352.8
2022-04-03,255.8
2022-04-04,254.6
2022-04-05,247.2
2022-04-06,234.3
2022-04-07,221.6
2022-04-08,258.9
2022-04-09,308.3
2022-04-10,290.0
2022-04-11,301.8
2022-04-12,216.3
2022-04-13,219.4
2022-04-14,180.9
2022-04-15,268.3
2022-04-16,245.5
2022-04-17,281.3
2022-04-18,226.8
2022-04-19,214.9
2022-04-20,275.1
2022-04-21,255.4
2022-04-22,287.5
2022-04-23,266.4
2022-04-24,315.7
2022-04-25,238.9
2022-04-26,244.8
2022-04-27,250.3
2022-04-28,200.9
2022-04-29,237.1
2022-04-30,303.3
2022-05-01,214.5
2022-05-02,257.8
2022-05-03,232.9
2022-05-04,217.1
2022-05-05,222.9
2022-05-06,215.8
2022-05-07,267.0
2022-05-08,415.9
2022-05-09,246.6
2022-05-10,280.8
2022-05-11,210.8
2022-05-12,195.5
2022-05-13,223.4
2022-05-14,245.1
2022-05-15,268.0
2022-05-16,218.9
2022-05-17,207.8
2022-05-18,235.5
2022-05-19,201.6
2022-05-20,223.2
2022-05-21,251.8
2022-05-22,225.0
2022-05-23,166.1
2022-05-24,175.4
2022-05-25,236.9
2022-05-26,226.3
2022-05-27,262.9
2022-05-28,229.8
2022-05-29,213.5
2022-05-30,185.9
2022-05-31,206.5
2022-06-01,214.2
2022-06-02,227.7
2022-06-03,233.3
2022-06-04,304.5
2022-06-05,255.2
2022-06-06,301.1
2022-06-07,158.3
2022-06-08,178.0
2022-06-09,206.1
2022-06-10,312.1
2022-06-11,283.3
2022-06-12,295.2
2022-06-13,140.6
2022-06-14,221.4
2022-06-15,143.8
2022-06-16,209.9
2022-06-17,337.2
2022-06-18,261.6
2022-06-19,228.1
2022-06-20,185.6
2022-06-21,193.9
2022-06-22,196.0
2022-06-23,195.7
2022-06-24,223.3
2022-06-25,266.6
2022-06-26,231.3
2022-06-27,195.8
2022-06-28,240.1
2022-06-29,192.9
2022-06-30,191.8
2022-07-01,255.2
2022-07-02,199.7
2022-07-03,293.7
2022-07-04,188.8
2022-07-05,209.2
2022-07-06,208.0
2022-07-07,229.7
2022-07-08,225.0
2022-07-09,250.3
2022-07-10,300.3
2022-07-11,149.3
2022-07-12,209.6
2022-07-13,176.1
2022-07-14,191.4
2022-07-15,286.4
2022-07-16,270.8
2022-07-17,277.5
2022-07-18,168.9
2022-07-19,196.0
2022-07-20,219.9
2022-07-21,224.7
2022-07-22,257.1
2022-07-23,277.8
2022-07-24,291.7
2022-07-25,230.7
2022-07-26,174.6
2022-07-27,222.2
2022-07-28,241.5
2022-07-29,263.0
2022-07-30,275.2
2022-07-31,265.1
2022-08-01,198.4
2022-08-02,224.1
2022-08-03,256.8
2022-08-04,180.8
2022-08-05,239.2
2022-08-06,263.3
2022-08-07,312.6
2022-08-08,220.3
2022-08-09,223.6
2022-08-10,231.1
2022-08-11,248.9
2022-08-12,254.2
2022-08-13,224.1
2022-08-14,315.1
2022-08-15,253.7
2022-08-16,238.5
2022-08-17,218.2
2022-08-18,255.4
2022-08-19,365.9
2022-08-20,297.5
2022-08-21,305.2
2022-08-22,228.8
2022-08-23,248.9
2022-08-24,216.0
2022-08-25,266.6
2022-08-26,392.1
2022-08-27,324.9
2022-08-28,285.2
2022-08-29,247.1
2022-08-30,260.5
2022-08-31,223.2
2022-09-01,269.0
2022-09-02,283.1
2022-09-03,285.5
2022-09-04,298.0
2022-09-05,287.2
2022-09-06,295.9
2022-09-07,415.6
2022-09-08,286.6
2022-09-09,308.6
2022-09-10,347.8
2022-09-11,373.2
2022-09-12,244.9
2022-09-13,301.0
2022-09-14,276.0
2022-09-15,281.5
2022-09-16,306.1
2022-09-17,340.8
2022-09-18,321.0
2022-09-19,297.8
2022-09-20,336.5
2022-09-21,294.9
2022-09-22,297.8
2022-09-23,307.1
2022-09-24,357.9
2022-09-25,374.0
2022-09-26,294.6
2022-09-27,294.1
2022-09-28,317.0
2022-09-29,285.5
2022-09-30,341.2
2022-10-01,391.9
2022-10-02,406.9
2022-10-03,312.2
2022-10-04,350.1
2022-10-05,343.3
2022-10-06,294.0
2022-10-07,314.9
2022-10-08,374.2
2022-10-09,409.0
2022-10-10,322.9
2022-10-11,311.1
2022-10-12,366.4
2022-10-13,413.7
2022-10-14,297.4
2022-10-15,399.7
2022-10-16,406.2
2022-10-17,340.2
2022-10-18,347.2
2022-10-19,335.6
2022-10-20,305.7
2022-10-21,355.7
2022-10-22,377.7
2022-10-23,379.3
2022-10-24,312.3
2022-10-25,356.5
2022-10-26,348.9
2022-10-27,336.5
2022-10-28,357.7
2022-10-29,409.6
2022-10-30,438.4
2022-10-31,412.7
2022-11-01,453.2
2022-11-02,431.3
2022-11-03,528.5
2022-11-04,423.6
2022-11-05,485.5
2022-11-06,515.0
2022-11-07,460.4
2022-11-08,428.1
2022-11-09,478.1
2022-11-10,489.3
2022-11-11,489.6
2022-11-12,500.9
2022-11-13,544.8
2022-11-14,476.5
2022-11-15,480.2
2022-11-16,443.1
2022-11-17,389.5
2022-11-18,539.2
2022-11-19,481.8
2022-11-20,522.0
2022-11-21,523.3
2022-11-22,472.8
2022-11-23,628.7
2022-11-24,428.5
2022-11-25,447.4
2022-11-26,514.2
2022-11-27,555.5
2022-11-28,460.2
2022-11-29,449.6
2022-11-30,475.1
2022-12-01,497.8
2022-12-02,460.2
2022-12-03,501.6
2022-12-04,512.7
2022-12-05,500.3
2022-12-06,479.2
2022-12-07,527.1
2022-12-08,497.7
2022-12-09,498.8
2022-12-10,566.7
2022-12-11,540.7
2022-12-12,458.2
2022-12-13,493.1
2022-12-14,459.0
2022-12-15,469.4
2022-12-16,535.1
2022-12-17,632.3
2022-12-18,517.3
2022-12-19,465.9
2022-12-20,503.2
2022-12-21,464.0
2022-12-22,468.3
2022-12-23,490.3
2022-12-24,542.7
2022-12-25,528.5
2022-12-26,438.1
2022-12-27,455.9
2022-12-28,454.8
2022-12-29,509.1
2022-12-30,523.3
2022-12-31,552.5
2023-01-01,435.1
2023-01-02,367.2
2023-01-03,374.7
2023-01-04,360.9
2023-01-05,449.4
2023-01-06,355.6
2023-01-07,460.6
2023-01-08,558.5
2023-01-09,383.3
2023-01-10,360.9
2023-01-11,355.8
2023-01-12,356.3
2023-01-13,589.3
2023-01-14,440.7
2023-01-15,424.4
2023-01-16,397.0
2023-01-17,382.9
2023-01-18,400.1
2023-01-19,336.0
2023-01-20,413.6
2023-01-21,459.8
2023-01-22,398.4
2023-01-23,390.5
2023-01-24,421.1
2023-01-25,466.6
2023-01-26,397.9
2023-01-27,525.1
2023-01-28,538.9
2023-01-29,436.2
2023-01-30,335.3
2023-01-31,362.5
2023-02-01,349.6
2023-02-02,360.3
2023-02-03,367.0
2023-02-04,418.6
2023-02-05,372.1
2023-02-06,336.3
2023-02-07,338.5
2023-02-08,383.3
2023-02-09,330.8
2023-02-10,347.8
2023-02-11,394.9
2023-02-12,370.4
2023-02-13,337.2
2023-02-14,322.3
2023-02-15,285.7
2023-02-16,454.8
2023-02-17,345.5
2023-02-18,346.6
2023-02-19,384.7
2023-02-20,362.5
2023-02-21,337.3
2023-02-22,338.5
2023-02-23,288.5
2023-02-24,357.9
2023-02-25,383.6
2023-02-26,392.0
2023-02-27,379.2
2023-02-28,356.3
2023-03-01,344.3
2023-03-02,325.3
2023-03-03,366.8
2023-03-04,493.0
2023-03-05,433.5
2023-03-06,318.1
2023-03-07,315.9
2023-03-08,339.0
2023-03-09,309.0
2023-03-10,349.1
2023-03-11,372.8
2023-03-12,427.6
2023-03-13,350.8
2023-03-14,328.5
2023-03-15,318.9
2023-03-16,351.0
2023-03-17,361.4
2023-03-18,397.5
2023-03-19,383.1
2023-03-20,280.4
2023-03-21,318.5
2023-03-22,306.8
2023-03-23,414.4
2023-03-24,368.0
2023-03-25,360.0
2023-03-26,532.6
2023-03-27,357.4
2023-03-28,296.1
2023-03-29,353.6
2023-03-30,289.0
2023-03-31,334.7
2023-04-01,367.7
2023-04-02,367.0
2023-04-03,284.6
2023-04-04,289.6
2023-04-05,286.5
2023-04-06,310.2
2023-04-07,334.1
2023-04-08,415.3
2023-04-09,392.8
2023-04-10,284.6
2023-04-11,304.3
2023-04-12,426.2
2023-04-13,294.7
2023-04-14,316.1
2023-04-15,353.0
2023-04-16,372.3
2023-04-17,268.3
2023-04-18,280.3
2023-04-19,299.2
2023-04-20,294.1
2023-04-21,316.3
2023-04-22,335.0
2023-04-23,367.6
2023-04-24,335.6
2023-04-25,291.4
2023-04-26,275.5
2023-04-27,298.2
2023-04-28,289.9
2023-04-29,318.7
2023-04-30,337.3
2023-05-01,211.0
2023-05-02,245.9
2023-05-03,265.1
2023-05-04,239.2
2023-05-05,271.3
2023-05-06,320.4
2023-05-07,289.4
2023-05-08,259.6
2023-05-09,255.6
2023-05-10,413.0
2023-05-11,296.3
2023-05-12,296.0
2023-05-13,326.6
2023-05-14,327.8
2023-05-15,270.4
2023-05-16,238.6
2023-05-17,260.5
2023-05-18,270.5
2023-05-19,252.9
2023-05-20,343.3
2023-05-21,348.1
2023-05-22,244.8
2023-05-23,254.0
2023-05-24,237.6
2023-05-25,276.6
2023-05-26,257.2
2023-05-27,312.7
2023-05-28,296.4
2023-05-29,339.3
2023-05-30,212.3
2023-05-31,290.0
2023-06-01,232.4
2023-06-02,282.7
2023-06-03,310.6
2023-06-04,296.7
2023-06-05,233.3
2023-06-06,419.7
2023-06-07,242.0
2023-06-08,261.8
2023-06-09,259.8
2023-06-10,298.6
2023-06-11,326.5
2023-06-12,277.9
2023-06-13,250.2
2023-06-14,219.0
2023-06-15,304.5
2023-06-16,258.2
2023-06-17,276.1
2023-06-18,466.8
2023-06-19,244.8
2023-06-20,218.5
2023-06-21,238.1
2023-06-22,264.5
2023-06-23,285.3
2023-06-24,294.5
2023-06-25,361.6
2023-06-26,243.3
2023-06-27,227.0
2023-06-28,280.9
2023-06-29,290.5
2023-06-30,262.2
2023-07-01,283.0
2023-07-02,344.2
2023-07-03,207.7
2023-07-04,228.7
2023-07-05,284.0
2023-07-06,258.9
2023-07-07,279.3
2023-07-08,330.2
2023-07-09,318.2
2023-07-10,230.1
2023-07-11,404.9
2023-07-12,297.0
2023-07-13,269.6
2023-07-14,291.3
2023-07-15,384.4
2023-07-16,319.7
2023-07-17,260.9
2023-07-18,277.3
2023-07-19,305.7
2023-07-20,400.3
2023-07-21,289.1
2023-07-22,339.2
2023-07-23,297.9
2023-07-24,265.4
2023-07-25,253.1
2023-07-26,249.9
2023-07-27,318.1
2023-07-28,282.2
2023-07-29,324.7
2023-07-30,348.2
2023-07-31,312.5
2023-08-01,293.1
2023-08-02,351.1
2023-08-03,281.4
2023-08-04,315.8
2023-08-05,352.3
2023-08-06,382.5
2023-08-07,300.4
2023-08-08,286.0
2023-08-09,266.4
2023-08-10,297.4
2023-08-11,352.5
2023-08-12,343.5
2023-08-13,368.2
2023-08-14,302.4
2023-08-15,319.1
2023-08-16,278.7
2023-08-17,358.7
2023-08-18,294.4
2023-08-19,353.6
2023-08-20,387.5
2023-08-21,312.8
2023-08-22,327.5
2023-08-23,295.7
2023-08-24,307.6
2023-08-25,336.2
2023-08-26,411.5
2023-08-27,391.0
2023-08-28,448.3
2023-08-29,300.1
2023-08-30,342.2
2023-08-31,325.1
2023-09-01,380.6
2023-09-02,432.7
2023-09-03,376.2
2023-09-04,315.1
2023-09-05,305.2
2023-09-06,324.7
2023-09-07,320.2
2023-09-08,365.3
2023-09-09,389.2
2023-09-10,385.2
2023-09-11,362.4
2023-09-12,313.9
2023-09-13,441.3
2023-09-14,330.2
2023-09-15,385.0
2023-09-16,438.0
2023-09-17,397.3
2023-09-18,357.5
2023-09-19,352.4
2023-09-20,329.5
2023-09-21,357.0
2023-09-22,491.0
2023-09-23,424.4
2023-09-24,410.6
2023-09-25,359.5
2023-09-26,329.9
2023-09-27,351.2
2023-09-28,375.6
2023-09-29,410.5
2023-09-30,414.1
2023-10-01,428.8
2023-10-02,373.4
2023-10-03,374.2
2023-10-04,384.2
2023-10-05,326.7
2023-10-06,397.4
2023-10-07,441.1
2023-10-08,411.5
2023-10-09,419.9
2023-10-10,383.5
2023-10-11,420.0
2023-10-12,362.6
2023-10-13,386.1
2023-10-14,450.8
2023-10-15,404.6
2023-10-16,393.3
2023-10-17,391.8
2023-10-18,416.1
2023-10-19,409.6
2023-10-20,408.0
2023-10-21,427.3
2023-10-22,498.9
2023-10-23,377.6
2023-10-24,372.5
2023-10-25,433.3
2023-10-26,429.2
2023-10-27,414.5
2023-10-28,444.9
2023-10-29,468.4
2023-10-30,529.2
2023-10-31,390.4
2023-11-01,517.4
2023-11-02,526.3
2023-11-03,690.0
2023-11-04,581.2
2023-11-05,573.2
2023-11-06,459.8
2023-11-07,547.0
2023-11-08,513.9
2023-11-09,522.6
2023-11-10,561.3
2023-11-11,605.3
2023-11-12,580.9
2023-11-13,522.3
2023-11-14,497.4
2023-11-15,514.1
2023-11-16,492.9
2023-11-17,522.1
2023-11-18,553.7
2023-11-19,573.0
2023-11-20,543.9
2023-11-21,597.8
2023-11-22,524.0
2023-11-23,486.4
2023-11-24,577.4
2023-11-25,574.0
2023-11-26,565.7
2023-11-27,528.2
2023-11-28,492.6
2023-11-29,529.8
2023-11-30,522.7
2023-12-01,552.9
2023-12-02,595.6
2023-12-03,588.3
2023-12-04,527.5
2023-12-05,629.2
2023-12-06,538.5
2023-12-07,502.8
2023-12-08,518.3
2023-12-09,587.9
2023-12-10,554.0
2023-12-11,532.4
2023-12-12,554.0
2023-12-13,546.0
2023-12-14,505.0
2023-12-15,641.5
2023-12-16,599.9
2023-12-17,581.9
2023-12-18,524.2
2023-12-19,547.2
2023-12-20,507.8
2023-12-21,522.6
2023-12-22,537.7
2023-12-23,566.7
2023-12-24,571.4
2023-12-25,549.8
2023-12-26,534.2
2023-12-27,510.9
2023-12-28,527.1
2023-12-29,516.8
2023-12-30,574.4
2023-12-31,646.3
